Nationality,Unnamed: 0,ID,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Rating,Quantidade
Argentina,7285.958377801494,214452.5613660619,26.2059765208111,68.57203842049093,73.21024546424759,3077011.73959445,11502.668089647812,1639.410885805763,1.1335470085470085,2.8707264957264957,2.4540598290598292,16.266025641025642,51.31944444444444,48.126068376068375,55.129273504273506,60.449786324786324,44.863247863247864,58.06837606837607,48.88354700854701,44.88354700854701,54.16132478632478,60.80876068376068,64.625,64.31837606837607,64.19337606837607,64.38568376068376,64.37606837606837,57.60683760683761,65.57692307692308,64.16239316239316,65.5619658119658,50.01816239316239,56.72542735042735,47.65384615384615,52.368589743589745,54.86217948717949,51.84188034188034,60.452991452991455,48.276709401709404,47.97008547008547,46.340811965811966,16.30982905982906,16.286324786324787,16.28525641025641,16.48611111111111,16.431623931623932,70.89114194236926,937
Gabon,7040.466666666666,214208.6,26.066666666666666,69.46666666666667,72.26666666666667,6628333.333333333,26933.333333333332,1697.0666666666666,1.2,3.066666666666667,2.7333333333333334,16.133333333333333,55.0,51.8,54.93333333333333,64.06666666666666,47.93333333333333,62.06666666666667,49.4,49.4,56.2,65.0,72.4,70.8,66.8,64.93333333333334,70.2,60.13333333333333,64.86666666666666,65.66666666666667,63.06666666666667,51.8,58.666666666666664,49.333333333333336,55.53333333333333,58.93333333333333,51.86666666666667,64.06666666666666,48.86666666666667,49.53333333333333,46.733333333333334,13.533333333333333,14.133333333333333,14.8,13.8,14.866666666666667,70.86666666666666,15
Ecuador,6906.441860465116,226662.06976744186,25.162790697674417,68.79069767441861,72.93023255813954,1987790.6976744186,11116.279069767443,1664.8837209302326,1.0930232558139534,3.0232558139534884,2.558139534883721,17.6046511627907,55.27906976744186,48.348837209302324,55.883720930232556,61.95348837209303,45.16279069767442,60.02325581395349,50.651162790697676,48.16279069767442,56.06976744186046,61.627906976744185,70.37209302325581,69.30232558139535,67.04651162790698,64.06976744186046,68.48837209302326,58.23255813953488,63.74418604651163,67.95348837209302,64.3953488372093,50.53488372093023,55.72093023255814,47.72093023255814,52.83720930232558,53.95348837209303,53.25581395348837,59.395348837209305,46.58139534883721,48.69767441860465,46.627906976744185,14.604651162790697,14.44186046511628,14.44186046511628,14.325581395348838,14.372093023255815,70.86046511627907,43
Burkina Faso,7267.125,214459.8125,25.125,68.5625,73.125,2887500.0,12062.5,1675.9375,1.25,2.8125,2.6875,22.375,55.5,51.625,56.625,61.1875,49.8125,62.375,49.875,42.375,54.5625,63.0625,73.4375,74.375,71.625,63.5625,67.875,61.6875,70.0,65.25,66.6875,51.4375,59.1875,41.5625,55.125,55.125,53.0,62.1875,45.625,43.6875,40.375,14.1875,13.5625,13.5625,14.75,13.25,70.84375,16
DR Congo,6477.192307692308,205215.34615384616,25.75,69.21153846153847,72.38461538461539,3160480.769230769,13769.23076923077,1710.3653846153845,1.0961538461538463,2.923076923076923,2.7884615384615383,21.673076923076923,54.46153846153846,53.46153846153846,57.82692307692308,62.25,48.42307692307692,63.5,52.55769230769231,45.94230769230769,55.5,65.23076923076923,73.1923076923077,74.17307692307692,69.82692307692308,64.3076923076923,66.32692307692308,64.75,70.61538461538461,68.90384615384616,71.86538461538461,55.19230769230769,61.21153846153846,46.51923076923077,57.0,57.90384615384615,52.61538461538461,64.59615384615384,43.23076923076923,46.63461538461539,43.40384615384615,12.826923076923077,12.75,11.846153846153847,13.23076923076923,12.884615384615385,70.79807692307692,52
Iran,6666.823529411765,228134.82352941178,25.235294117647058,68.82352941176471,72.76470588235294,2627941.1764705884,11294.117647058823,1600.8823529411766,1.0588235294117647,3.176470588235294,2.588235294117647,15.176470588235293,52.294117647058826,45.294117647058826,50.23529411764706,58.11764705882353,45.64705882352941,54.1764705882353,48.0,43.529411764705884,49.88235294117647,59.8235294117647,65.11764705882354,65.6470588235294,63.88235294117647,65.23529411764706,63.1764705882353,55.705882352941174,62.64705882352941,62.8235294117647,62.64705882352941,48.76470588235294,55.470588235294116,44.35294117647059,48.0,53.11764705882353,46.05882352941177,59.05882352941177,45.588235294117645,43.529411764705884,41.23529411764706,20.11764705882353,19.58823529411765,20.41176470588235,20.235294117647058,20.529411764705884,70.79411764705883,17
Senegal,7282.5615384615385,214064.6923076923,25.361538461538462,68.61538461538461,72.92307692307692,3545076.923076923,14361.538461538461,1661.753846153846,1.1692307692307693,2.953846153846154,2.5307692307692307,21.630769230769232,50.06923076923077,49.738461538461536,60.96153846153846,60.89230769230769,46.41538461538462,60.07692307692308,47.26923076923077,42.0,52.46923076923077,62.353846153846156,68.26923076923077,70.23846153846154,65.72307692307692,63.815384615384616,61.02307692307692,61.06153846153846,70.17692307692307,66.48461538461538,71.07692307692308,50.57692307692308,61.06153846153846,47.3,55.13076923076923,54.146153846153844,51.89230769230769,62.40769230769231,47.39230769230769,49.0,46.292307692307695,14.276923076923078,13.461538461538462,13.623076923076923,13.446153846153846,14.038461538461538,70.76923076923077,130
Honduras,6433.875,215512.0,26.8125,69.1875,72.3125,2527187.5,7500.0,1753.5,1.125,3.125,2.8125,20.125,56.625,53.125,61.125,63.9375,49.25,65.4375,53.9375,47.875,55.875,65.375,72.5,72.5,71.125,66.375,67.6875,62.9375,73.1875,69.375,70.75,54.0,64.8125,47.1875,58.9375,62.4375,57.125,63.8125,46.5,49.0625,47.0625,13.3125,12.75,13.1875,13.6875,14.4375,70.75,16
Montenegro,7543.173913043478,216259.8260869565,25.0,68.47826086956522,72.95652173913044,3405869.565217391,13086.95652173913,1599.7391304347825,1.173913043478261,3.1739130434782608,2.5217391304347827,23.347826086956523,48.47826086956522,46.869565217391305,54.52173913043478,60.130434782608695,45.47826086956522,56.0,47.47826086956522,43.04347826086956,52.69565217391305,61.30434782608695,62.17391304347826,62.34782608695652,59.30434782608695,64.26086956521739,56.69565217391305,55.69565217391305,67.95652173913044,60.608695652173914,68.30434782608695,49.608695652173914,55.73913043478261,45.21739130434783,52.04347826086956,53.73913043478261,49.52173913043478,62.08695652173913,43.43478260869565,45.73913043478261,43.69565217391305,17.347826086956523,18.130434782608695,16.608695652173914,17.347826086956523,18.217391304347824,70.71739130434783,23
France,8075.863238512035,214077.6170678337,24.61597374179431,67.79868708971554,73.44748358862144,3679819.474835886,14053.610503282276,1624.2571115973742,1.2063666300768385,2.915477497255763,2.4006586169045003,18.972557628979143,51.739846322722286,45.484083424807906,54.90779363336992,61.05817782656422,43.468715697036224,56.73655323819978,47.96377607025247,43.42371020856202,54.996706915477496,59.787047200878156,64.52469813391878,64.71459934138309,62.81997804610318,62.58287596048299,63.9198682766191,55.758507135016465,65.28540065861691,62.64873765093304,66.4807903402854,47.37321624588365,56.9582875960483,49.01317233809001,50.084522502744235,54.236004390779364,49.69154774972558,60.58616904500549,48.20856201975851,50.04720087815587,48.1569703622393,16.644346871569702,16.336992316136115,16.29198682766191,16.53238199780461,16.814489571899013,70.62308533916848,914
Slovakia,7670.722222222223,217742.85185185185,26.27777777777778,68.4074074074074,72.79629629629629,3826111.111111111,11000.0,1538.851851851852,1.1296296296296295,3.037037037037037,2.185185185185185,21.35185185185185,44.370370370370374,39.74074074074074,46.22222222222222,56.888888888888886,38.851851851851855,50.24074074074074,42.01851851851852,37.46296296296296,53.129629629629626,53.81481481481482,58.129629629629626,57.7962962962963,58.51851851851852,64.14814814814815,59.68518518518518,50.94444444444444,61.68518518518518,59.05555555555556,64.05555555555556,42.111111111111114,52.629629629629626,45.22222222222222,43.68518518518518,54.44444444444444,43.0,59.851851851851855,46.129629629629626,47.166666666666664,44.5,25.14814814814815,24.09259259259259,24.59259259259259,24.14814814814815,25.22222222222222,70.60185185185185,54
Gambia,8173.733333333334,223112.06666666668,23.2,67.2,73.93333333333334,2031333.3333333333,8133.333333333333,1606.4,1.0,2.933333333333333,2.4,26.866666666666667,48.666666666666664,52.2,53.333333333333336,59.2,45.6,59.0,45.666666666666664,42.46666666666667,51.13333333333333,61.06666666666667,72.0,76.4,68.26666666666667,61.8,62.93333333333333,58.8,62.333333333333336,65.33333333333333,69.46666666666667,45.86666666666667,55.8,38.266666666666666,55.86666666666667,51.266666666666666,50.93333333333333,58.4,41.4,40.93333333333333,39.46666666666667,13.866666666666667,13.466666666666667,14.4,14.266666666666667,14.933333333333334,70.56666666666666,15
Nigeria,8241.04132231405,223369.20661157026,23.06611570247934,67.14876033057851,73.86776859504133,2534462.8099173554,9859.504132231405,1662.0661157024792,1.0495867768595042,3.0165289256198347,2.6611570247933884,25.512396694214875,51.31404958677686,53.81818181818182,57.99173553719008,60.71900826446281,49.84297520661157,64.58677685950413,48.20661157024794,40.074380165289256,51.099173553719005,64.56198347107438,75.0909090909091,75.73553719008264,69.4297520661157,62.107438016528924,67.36363636363636,62.83471074380165,68.3305785123967,68.99173553719008,69.59504132231405,53.30578512396694,58.30578512396694,40.82644628099174,57.396694214876035,54.01652892561984,53.19834710743802,59.98347107438016,42.760330578512395,43.53719008264463,40.96694214876033,11.041322314049587,11.099173553719009,11.239669421487603,11.396694214876034,11.28099173553719,70.50826446280992,121
Cameroon,7751.833333333333,216435.67777777778,24.555555555555557,67.9888888888889,73.0111111111111,2636111.111111111,10966.666666666666,1644.8444444444444,1.2222222222222223,2.922222222222222,2.488888888888889,19.61111111111111,48.5,46.67777777777778,58.72222222222222,60.62222222222222,44.922222222222224,57.7,46.91111111111111,39.75555555555555,52.977777777777774,61.17777777777778,70.16666666666667,71.22222222222223,67.26666666666667,62.24444444444445,64.35555555555555,59.6,70.46666666666667,65.5111111111111,72.2,47.51111111111111,59.55555555555556,48.13333333333333,50.233333333333334,52.8,50.044444444444444,59.94444444444444,49.74444444444445,49.55555555555556,46.81111111111111,14.188888888888888,13.9,13.655555555555555,13.588888888888889,14.122222222222222,70.5,90
Guinea,7757.225806451613,221810.61290322582,24.677419354838708,68.12903225806451,72.87096774193549,3423064.5161290322,12225.806451612903,1658.032258064516,1.1290322580645162,2.7419354838709675,2.6129032258064515,18.870967741935484,52.16129032258065,50.193548387096776,57.70967741935484,61.70967741935484,46.774193548387096,60.935483870967744,48.38709677419355,41.903225806451616,54.354838709677416,63.32258064516129,70.38709677419355,70.90322580645162,68.80645161290323,62.38709677419355,67.80645161290323,60.193548387096776,68.58064516129032,66.2258064516129,68.2258064516129,51.774193548387096,59.903225806451616,45.61290322580645,54.354838709677416,54.354838709677416,51.83870967741935,61.74193548387097,47.32258064516129,45.774193548387096,44.54838709677419,13.0,12.806451612903226,12.870967741935484,11.258064516129032,11.64516129032258,70.5,31
Bosnia Herzegovina,7428.9672131147545,212489.4262295082,26.0,68.63934426229508,72.34426229508196,3682377.049180328,14868.852459016394,1646.0655737704917,1.2131147540983607,2.9836065573770494,2.5245901639344264,20.540983606557376,52.131147540983605,49.75409836065574,54.52459016393443,62.14754098360656,47.868852459016395,58.26229508196721,51.09836065573771,48.77049180327869,55.9344262295082,62.114754098360656,62.32786885245902,63.14754098360656,61.91803278688525,62.950819672131146,59.91803278688525,61.049180327868854,62.65573770491803,62.90163934426229,69.55737704918033,52.21311475409836,58.31147540983606,47.98360655737705,53.31147540983606,54.83606557377049,51.90163934426229,60.85245901639344,48.31147540983606,48.19672131147541,45.032786885245905,15.524590163934427,15.180327868852459,15.180327868852459,15.327868852459016,15.721311475409836,70.49180327868852,61
