Nationality,Unnamed: 0,ID,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Rating,Quantidade
Curacao,7866.642857142857,212555.42857142858,25.357142857142858,67.57142857142857,70.28571428571429,1648571.4285714286,8857.142857142857,1653.642857142857,1.0,2.7857142857142856,2.5,25.214285714285715,52.57142857142857,51.214285714285715,52.214285714285715,56.5,49.285714285714285,59.07142857142857,52.142857142857146,48.285714285714285,51.714285714285715,59.857142857142854,68.92857142857143,72.42857142857143,64.78571428571429,62.714285714285715,63.42857142857143,61.92857142857143,67.21428571428571,65.78571428571429,69.71428571428571,54.142857142857146,56.142857142857146,38.5,52.57142857142857,57.42857142857143,52.07142857142857,58.92857142857143,38.214285714285715,39.857142857142854,37.07142857142857,20.357142857142858,19.714285714285715,18.714285714285715,18.285714285714285,20.785714285714285,68.92857142857143,14
Cyprus,10507.125,216502.375,24.0,64.125,70.125,1238125.0,5250.0,1659.875,1.0,2.75,2.375,23.75,51.625,49.75,59.125,57.75,46.625,60.125,47.75,43.0,53.0,60.375,66.125,67.375,66.125,58.5,62.875,61.875,65.375,70.125,69.125,50.875,60.5,51.125,55.5,55.875,53.875,55.875,52.875,54.75,52.625,10.375,9.875,11.125,11.875,12.0,67.125,8
Czech Republic,6316.96,203997.39,26.76,69.51,72.78,2837200.0,7950.0,1634.72,1.14,2.91,2.4,19.52,52.07,47.01,54.4,59.48,46.62,55.28,48.62,44.74,53.59,59.22,62.73,63.28,61.57,66.68,59.97,57.07,64.64,61.69,66.51,50.81,58.97,48.55,51.63,55.53,49.78,62.29,44.28,47.15,45.47,19.08,19.36,19.13,19.95,19.86,71.145,100
DR Congo,6477.192307692308,205215.34615384616,25.75,69.21153846153847,72.38461538461539,3160480.769230769,13769.23076923077,1710.3653846153845,1.0961538461538463,2.923076923076923,2.7884615384615383,21.673076923076923,54.46153846153846,53.46153846153846,57.82692307692308,62.25,48.42307692307692,63.5,52.55769230769231,45.94230769230769,55.5,65.23076923076923,73.1923076923077,74.17307692307692,69.82692307692308,64.3076923076923,66.32692307692308,64.75,70.61538461538461,68.90384615384616,71.86538461538461,55.19230769230769,61.21153846153846,46.51923076923077,57.0,57.90384615384615,52.61538461538461,64.59615384615384,43.23076923076923,46.63461538461539,43.40384615384615,12.826923076923077,12.75,11.846153846153847,13.23076923076923,12.884615384615385,70.79807692307692,52
Denmark,10833.776785714286,213080.16964285713,24.145833333333332,63.717261904761905,70.05059523809524,1787351.1904761905,6913.690476190476,1557.6130952380952,1.0686567164179104,2.9402985074626864,2.265671641791045,17.782089552238805,47.680597014925375,44.0,51.05373134328358,56.73731343283582,41.14029850746269,53.06567164179104,44.85671641791045,40.61492537313433,51.17313432835821,57.002985074626864,63.81492537313433,64.53731343283582,62.17910447761194,60.167164179104475,62.21492537313433,53.12238805970149,64.2089552238806,63.62089552238806,66.62089552238805,43.96417910447761,54.82089552238806,45.9134328358209,49.211940298507464,52.113432835820895,44.03283582089552,57.04179104477612,49.080597014925374,47.27164179104478,44.81791044776119,15.985074626865671,15.66865671641791,15.907462686567165,15.901492537313432,16.095522388059702,66.88392857142857,336
Dominican Republic,5944.0,232476.5,23.0,72.0,80.5,10400000.0,71000.0,1847.0,1.0,3.5,2.5,19.5,62.5,68.5,66.5,65.0,57.0,67.5,59.0,63.5,55.0,68.5,77.5,78.5,71.5,70.0,75.5,75.5,69.5,71.5,65.5,72.5,70.0,45.0,70.0,58.5,60.0,55.0,43.5,43.5,43.5,11.0,10.5,9.0,10.5,11.5,76.25,2
Ecuador,6906.441860465116,226662.06976744186,25.162790697674417,68.79069767441861,72.93023255813954,1987790.6976744186,11116.279069767443,1664.8837209302326,1.0930232558139534,3.0232558139534884,2.558139534883721,17.6046511627907,55.27906976744186,48.348837209302324,55.883720930232556,61.95348837209303,45.16279069767442,60.02325581395349,50.651162790697676,48.16279069767442,56.06976744186046,61.627906976744185,70.37209302325581,69.30232558139535,67.04651162790698,64.06976744186046,68.48837209302326,58.23255813953488,63.74418604651163,67.95348837209302,64.3953488372093,50.53488372093023,55.72093023255814,47.72093023255814,52.83720930232558,53.95348837209303,53.25581395348837,59.395348837209305,46.58139534883721,48.69767441860465,46.627906976744185,14.604651162790697,14.44186046511628,14.44186046511628,14.325581395348838,14.372093023255815,70.86046511627907,43
Egypt,5881.903225806452,214494.29032258064,26.967741935483872,70.2258064516129,72.64516129032258,4295967.741935484,16870.967741935485,1685.5483870967741,1.1935483870967742,3.032258064516129,2.6774193548387095,18.838709677419356,53.193548387096776,48.96774193548387,54.41935483870968,61.83870967741935,45.774193548387096,59.935483870967744,51.74193548387097,44.806451612903224,57.16129032258065,62.25806451612903,68.03225806451613,67.06451612903226,65.87096774193549,63.806451612903224,66.96774193548387,59.935483870967744,63.96774193548387,65.80645161290323,68.45161290322581,52.87096774193548,59.25806451612903,48.903225806451616,52.38709677419355,55.354838709677416,50.096774193548384,64.2258064516129,54.32258064516129,51.774193548387096,48.903225806451616,16.225806451612904,15.903225806451612,17.032258064516128,16.032258064516128,16.483870967741936,71.43548387096774,31
El Salvador,9263.2,212374.6,26.2,66.0,69.6,795000.0,2600.0,1635.4,1.0,3.0,2.6,15.2,51.4,51.6,47.6,61.2,49.4,59.6,50.4,46.6,54.4,62.4,65.6,68.6,61.2,64.2,74.2,62.6,56.2,63.4,58.4,54.0,54.0,46.6,53.8,55.0,56.2,58.4,48.6,54.2,53.6,11.2,11.4,10.2,10.2,7.4,67.8,5
England,11283.274368231047,207327.7316486161,24.03008423586041,63.42960288808664,70.03730445246691,1498745.487364621,9943.44163658243,1549.1371841155235,1.0651780325890163,2.8943874471937234,2.2534701267350634,19.233554616777308,47.249849124924566,44.56729028364514,50.612552806276405,55.56065178032589,40.58539529269765,53.23476161738081,44.498491249245625,40.70488835244418,50.023536511768256,56.07302353651177,64.94508147254074,64.77308388654194,63.37296318648159,58.32951116475558,64.73264936632468,52.62100181050091,64.8086904043452,62.92094146047073,64.06879903439952,44.71876885938443,54.275196137598066,44.36753168376584,48.23657211828606,51.32649366324683,47.53108026554013,56.15389257694629,45.29511164755582,46.06759203379602,44.16475558237779,16.101991550995777,15.96137598068799,15.652383826191913,15.671695835847919,16.11104405552203,66.73345367027677,1662
Equatorial Guinea,5841.0,219434.0,25.4,70.0,75.2,2790000.0,17200.0,1675.2,1.2,2.8,2.4,14.6,54.4,44.0,52.0,61.6,42.6,56.2,51.2,43.6,56.4,61.0,70.0,71.4,71.8,62.2,64.4,60.0,75.0,66.2,62.2,50.6,58.2,46.6,50.8,55.4,46.6,58.2,48.6,46.8,46.6,20.4,19.2,19.8,18.6,20.8,72.6,5
Eritrea,8209.0,206877.5,27.0,67.5,68.5,1237500.0,6000.0,1631.0,1.0,2.5,2.5,53.5,47.0,67.5,65.5,58.5,69.0,64.5,61.0,48.5,50.5,66.5,63.0,63.0,55.5,65.0,59.5,66.5,55.5,62.5,73.0,61.5,46.0,32.0,70.0,64.0,69.0,62.5,35.5,23.5,17.5,11.5,10.5,10.5,6.0,11.5,68.0,2
Estonia,10613.153846153846,204536.61538461538,27.153846153846153,64.92307692307692,67.76923076923077,792307.6923076923,3846.153846153846,1571.3846153846155,1.0833333333333333,2.8333333333333335,2.25,11.833333333333334,49.25,41.416666666666664,51.25,55.666666666666664,39.25,51.416666666666664,49.0,38.583333333333336,51.916666666666664,54.666666666666664,58.0,59.833333333333336,58.25,60.916666666666664,58.5,51.916666666666664,65.75,61.666666666666664,68.66666666666667,45.416666666666664,59.083333333333336,50.5,45.416666666666664,52.916666666666664,43.083333333333336,56.666666666666664,49.166666666666664,49.0,47.666666666666664,19.25,19.416666666666668,17.916666666666668,19.416666666666668,17.666666666666668,66.34615384615384,13
Ethiopia,11522.0,155266.0,32.0,64.0,64.0,250000.0,1000.0,1824.0,1.0,3.0,3.0,77.0,66.0,56.0,64.0,64.0,63.0,70.0,58.0,64.0,55.0,68.0,74.0,77.0,85.0,62.0,79.0,78.0,68.0,73.0,34.0,71.0,60.0,56.0,66.0,60.0,38.0,63.0,58.0,57.0,54.0,6.0,6.0,13.0,12.0,9.0,64.0,1
FYR Macedonia,7439.2,213218.35,25.1,68.0,72.5,2778750.0,7900.0,1636.35,1.05,3.15,2.6,29.2,49.9,52.1,51.95,60.55,48.1,59.45,52.2,48.75,52.65,60.7,64.45,62.8,63.55,63.45,62.55,60.15,60.45,62.2,64.8,54.2,55.55,40.45,54.25,56.0,51.3,61.35,43.3,43.0,40.15,20.35,18.75,19.4,18.2,20.7,70.25,20
Faroe Islands,11909.5,211751.66666666666,24.166666666666668,62.5,66.16666666666667,526666.6666666666,2666.6666666666665,1614.6666666666667,1.0,3.1666666666666665,2.5,16.166666666666668,53.666666666666664,48.833333333333336,54.666666666666664,59.333333333333336,41.5,56.333333333333336,46.666666666666664,39.166666666666664,51.833333333333336,58.5,71.66666666666667,70.5,66.33333333333333,60.5,64.0,58.833333333333336,64.33333333333333,70.83333333333333,69.5,49.166666666666664,57.333333333333336,49.5,53.0,51.5,46.333333333333336,54.5,50.0,50.833333333333336,48.333333333333336,11.5,9.166666666666666,10.833333333333334,10.166666666666666,10.0,64.33333333333333,6
Fiji,4083.0,195620.0,30.0,71.0,71.0,2300000.0,4000.0,1931.0,1.0,4.0,3.0,21.0,63.0,67.0,64.0,62.0,64.0,72.0,67.0,63.0,60.0,72.0,91.0,90.0,84.0,71.0,85.0,72.0,78.0,71.0,72.0,66.0,74.0,51.0,67.0,56.0,64.0,63.0,42.0,48.0,43.0,13.0,13.0,6.0,11.0,9.0,71.0,1
Finland,10765.0,212253.1194029851,24.761194029850746,64.02985074626865,69.85074626865672,1454477.6119402985,5208.955223880597,1535.402985074627,1.044776119402985,2.955223880597015,2.1940298507462686,18.119402985074625,46.014925373134325,42.97014925373134,49.53731343283582,55.46268656716418,40.492537313432834,51.582089552238806,43.865671641791046,41.35820895522388,50.8955223880597,54.134328358208954,60.88059701492537,61.059701492537314,58.492537313432834,59.507462686567166,60.46268656716418,53.97014925373134,62.61194029850746,61.07462686567164,64.8955223880597,44.67164179104478,56.134328358208954,45.91044776119403,46.656716417910445,51.64179104477612,44.59701492537314,56.46268656716418,49.38805970149254,47.507462686567166,46.56716417910448,17.0,16.83582089552239,15.462686567164178,16.507462686567163,17.253731343283583,66.94029850746269,67
France,8075.863238512035,214077.6170678337,24.61597374179431,67.79868708971554,73.44748358862144,3679819.474835886,14053.610503282276,1624.2571115973742,1.2063666300768385,2.915477497255763,2.4006586169045003,18.972557628979143,51.739846322722286,45.484083424807906,54.90779363336992,61.05817782656422,43.468715697036224,56.73655323819978,47.96377607025247,43.42371020856202,54.996706915477496,59.787047200878156,64.52469813391878,64.71459934138309,62.81997804610318,62.58287596048299,63.9198682766191,55.758507135016465,65.28540065861691,62.64873765093304,66.4807903402854,47.37321624588365,56.9582875960483,49.01317233809001,50.084522502744235,54.236004390779364,49.69154774972558,60.58616904500549,48.20856201975851,50.04720087815587,48.1569703622393,16.644346871569702,16.336992316136115,16.29198682766191,16.53238199780461,16.814489571899013,70.62308533916848,914
Gabon,7040.466666666666,214208.6,26.066666666666666,69.46666666666667,72.26666666666667,6628333.333333333,26933.333333333332,1697.0666666666666,1.2,3.066666666666667,2.7333333333333334,16.133333333333333,55.0,51.8,54.93333333333333,64.06666666666666,47.93333333333333,62.06666666666667,49.4,49.4,56.2,65.0,72.4,70.8,66.8,64.93333333333334,70.2,60.13333333333333,64.86666666666666,65.66666666666667,63.06666666666667,51.8,58.666666666666664,49.333333333333336,55.53333333333333,58.93333333333333,51.86666666666667,64.06666666666666,48.86666666666667,49.53333333333333,46.733333333333334,13.533333333333333,14.133333333333333,14.8,13.8,14.866666666666667,70.86666666666666,15
Gambia,8173.733333333334,223112.06666666668,23.2,67.2,73.93333333333334,2031333.3333333333,8133.333333333333,1606.4,1.0,2.933333333333333,2.4,26.866666666666667,48.666666666666664,52.2,53.333333333333336,59.2,45.6,59.0,45.666666666666664,42.46666666666667,51.13333333333333,61.06666666666667,72.0,76.4,68.26666666666667,61.8,62.93333333333333,58.8,62.333333333333336,65.33333333333333,69.46666666666667,45.86666666666667,55.8,38.266666666666666,55.86666666666667,51.266666666666666,50.93333333333333,58.4,41.4,40.93333333333333,39.46666666666667,13.866666666666667,13.466666666666667,14.4,14.266666666666667,14.933333333333334,70.56666666666666,15
